sample,expID,CollectionID,SideID,site_name,type,lat,long,trench,province,rock_type,new_water_type,alt,temp,ph,spc,sal,do,orp,alk,fe2,si,dic,dic_d13,d18o,d2h,co2,s,he,h2,o2,ar,n2,ch4,co,ch4_d13,co2_d13,ng_phase,he4,r_ra,rc_ra,X,he4_ne20,co2_3he,co2_4he,na,nh4,k,mg,ca,cl,no2,br,no3,po4,so4,h2s,V,Mn,Fe,Co,Ni,Cu,Mo,W,Zn
ARG19_AO_F,ARG19,AO100224,AO,Antuco,F,-24.182136,-66.674029,514.7,Backarc,Vulc,Mature,4231,27.8,6.25,33411,21.21,90,NA,NA,NA,1.02,5.45,-7.66,-3.31,-66.14,989.5759,0,0.006459,0.004705,0.101874,0.111563,10.11229,0.117478,0,NA,-9.91004,w,0.00000124,1.96,1.96,313.2,99.8,51800000000,142119.0162,5162.897,11.908,603.767,154.893,414.141,9367548,NA,8742,NA,NA,817.08,0.012583013,,,,,,,,,
ARG19_AO_S,ARG19,AO100224,AO,Antuco,S,-24.182136,-66.674029,514.7,Backarc,Vulc,Mature,4231,27.8,6.25,33411,21.21,90,NA,NA,NA,1.02,5.45,-7.66,-3.31,-66.14,989.5759,0,0.006459,0.004705,0.101874,0.111563,10.11229,0.117478,0,NA,-9.91004,w,0.00000124,1.96,1.96,313.2,99.8,51800000000,142119.0162,5162.897,11.908,603.767,154.893,414.141,9367548,NA,8742,NA,NA,817.08,0.012583013,,,,,,,,,
ARG19_BJ_F,ARG19,BJ190227,BJ,Botijuela,F,-25.743034,-67.823245,409.9,Backarc,Vulc,Volcanic,3524,40,6.44,14643,8.65,10,NA,NA,NA,0.67,15.92,NA,NA,NA,979.515,0,0.050518,0.019565,1.963554,0.633852,17.45857,0.358919,0,NA,-4.59,w,0.00000482,1.24,1.24,202.5,64.5,10800000000,18670.2436,1507.994,0.641,84.113,21.881,86.806,1590755,NA,NA,NA,NA,826466,0.012583013,1.31,176.955,202.16,0.215,2.635,0.835,11.145,23.845,-20.575
ARG19_BJ_S,ARG19,BJ190227,BJ,Botijuela,S,-25.743034,-67.823245,409.9,Backarc,Vulc,Volcanic,3524,40,6.44,14643,8.65,10,NA,NA,NA,0.67,15.92,NA,NA,NA,979.515,0,0.050518,0.019565,1.963554,0.633852,17.45857,0.358919,0,NA,-4.59,w,0.00000482,1.24,1.24,202.5,64.5,10800000000,18670.2436,1507.994,0.641,84.113,21.881,86.806,1590755,NA,NA,NA,NA,826466,0.012583013,1.31,176.955,202.16,0.215,2.635,0.835,11.145,23.845,-20.575
ARG19_GA_F,ARG19,GA190226,GA,Galán Aguas Calientes,F,-25.825416,-66.922496,507.2,Backarc,Vulc,Mature,4482,67,6.7,6012,3.28,10,NA,NA,NA,1.8,6.26,-1.5,-6.21,-52.48,952.8512,0,0.102306,0.031694,5.762056,1.228836,39.97707,0.001436,0,NA,-9.37034,w,0.0000108,1.56,1.56,556.7,177.3,4640000000,10109.60446,533.295,0.088,10.263,1.122,16.084,647319,NA,1093,NA,NA,28548,0.016078294,5.6,98.465,35.535,0.04,4.425,0.855,-1.33,234.87,-33.555
ARG19_GA_S,ARG19,GA190226,GA,Galán Aguas Calientes,S,-25.825416,-66.922496,507.2,Backarc,Vulc,Mature,4482,67,6.7,6012,3.28,10,NA,NA,NA,1.8,6.26,-1.5,-6.21,-52.48,952.8512,0,0.102306,0.031694,5.762056,1.228836,39.97707,0.001436,0,NA,-9.37034,w,0.0000108,1.56,1.56,556.7,177.3,4640000000,10109.60446,533.295,0.088,10.263,1.122,16.084,647319,NA,1093,NA,NA,28548,0.016078294,5.6,98.465,35.535,0.04,4.425,0.855,-1.33,234.87,-33.555
ARG19_GF1_F,ARG19,GF190226_1,GF1,Galán Fumaroles (El Diablo),F,-25.858188,-66.992695,500.1,Backarc,Vulc,Volcanic,4644,80,7.75,429,0.19,10,NA,NA,NA,NA,0.34,-14.81,-5.89,-50.62,882.5666,0.678163,0.07826,0.16505,16.05005,1.135054,99.27651,0.001677,0,NA,NA,g,0.000025,1.77,1.77,621.2,197.9,4470000000,11061.94135,12.385,20.666,2.928,0.997,3.655,14725,NA,NA,16,NA,69616,0.009087732,0.26,68.52,551.25,0.97,4.56,0.92,22.55,64.43,-33.37
ARG19_GF1_S,ARG19,GF190226_1,GF1,Galán Fumaroles (El Diablo),S,-25.858188,-66.992695,500.1,Backarc,Vulc,Volcanic,4644,80,7.75,429,0.19,10,NA,NA,NA,NA,0.34,-14.81,-5.89,-50.62,882.5666,0.678163,0.07826,0.16505,16.05005,1.135054,99.27651,0.001677,0,NA,NA,g,0.000025,1.77,1.77,621.2,197.9,4470000000,11061.94135,12.385,20.666,2.928,0.997,3.655,14725,NA,NA,16,NA,69616,0.009087732,0.26,68.52,551.25,0.97,4.56,0.92,22.55,64.43,-33.37
ARG19_GF2_F,ARG19,GF190226_2,GF2,Galán Fumaroles (El Diablo),F,-25.858243,-66.992818,500.1,Backarc,Vulc,Volcanic,4651,80,3.21,2050,1.02,60,NA,NA,NA,1.18,0.48,-12.4,NA,NA,909.9537,0.593586,0.019997,0.003758,14.655,0.882777,73.88588,0.005293,0,NA,-6.15583,g,0.0000289,1.79,1.79,683.4,217.7,18000000000,45152.73025,23.864,82.895,10.417,4.335,21.206,50849,NA,NA,125,NA,337.95,0.023068857,0.59,410.705,17418.01,13.165,8.335,9.525,10.81,34.43,5.955
ARG19_GF2_S,ARG19,GF190226_2,GF2,Galán Fumaroles (El Diablo),S,-25.858243,-66.992818,500.1,Backarc,Vulc,Volcanic,4651,80,3.21,2050,1.02,60,NA,NA,NA,1.18,0.48,-12.4,NA,NA,909.9537,0.593586,0.019997,0.003758,14.655,0.882777,73.88588,0.005293,0,NA,-6.15583,g,0.0000289,1.79,1.79,683.4,217.7,18000000000,45152.73025,23.864,82.895,10.417,4.335,21.206,50849,NA,NA,125,NA,337.95,0.023068857,0.59,410.705,17418.01,13.165,8.335,9.525,10.81,34.43,5.955
ARG19_IN_F,ARG19,IN190223,IN,Incachule,F,-24.282129,-66.466761,538,Backarc,Vulc,NA,4470,46.9,6.52,3000,1.54,10,NA,NA,NA,1.55,NA,NA,-9.97,-73.18,621.1889,0.238156,0.231968,0.00137,1.388626,1.735896,372.554,0.117358,0,NA,-12.0039,g,0.0000309,1.97,1.97,335,106.7,899000000,2477.220386,424.45,1.185,31.494,4.838,25.89,350283,NA,592,88,NA,47347,0.023068857,24.57,114.155,147.4,0.29,0.345,0.58,5.66,0.555,-15.415
ARG19_IN_S,ARG19,IN190223,IN,Incachule,S,-24.282129,-66.466761,538,Backarc,Vulc,NA,4470,46.9,6.52,3000,1.54,10,NA,NA,NA,1.55,NA,NA,-9.97,-73.18,621.1889,0.238156,0.231968,0.00137,1.388626,1.735896,372.554,0.117358,0,NA,-12.0039,g,0.0000309,1.97,1.97,335,106.7,899000000,2477.220386,424.45,1.185,31.494,4.838,25.89,350283,NA,592,88,NA,47347,0.023068857,24.57,114.155,147.4,0.29,0.345,0.58,5.66,0.555,-15.415
ARG19_LC_F,ARG19,LC190226,LC,Galán La Colcha,F,-26.032911,-66.986094,503.1,Backarc,Vulc,Mature,4728,84,6.94,10618,6.1,20,NA,NA,NA,2.53,6.82,-2.62,-5.59,-49.19,979.3897,0.042852,0.087992,0.000155,0.220945,0.329835,19.87218,0.056378,0,NA,-7.46285,g,0.00000324,2.58,2.58,1712.8,545.6,2860000000,10335.14355,915.171,1.019,50.995,0.638,35.836,1179351,NA,NA,NA,932,25336,0.00559245,1.24,173.665,10.91,0.045,25.42,38.08,-1.81,0.13,65.675
ARG19_LC_S,ARG19,LC190226,LC,Galán La Colcha,S,-26.032911,-66.986094,503.1,Backarc,Vulc,Mature,4728,84,6.94,10618,6.1,20,NA,NA,NA,2.53,6.82,-2.62,-5.59,-49.19,979.3897,0.042852,0.087992,0.000155,0.220945,0.329835,19.87218,0.056378,0,NA,-7.46285,g,0.00000324,2.58,2.58,1712.8,545.6,2860000000,10335.14355,915.171,1.019,50.995,0.638,35.836,1179351,NA,NA,NA,932,25336,0.00559245,1.24,173.665,10.91,0.045,25.42,38.08,-1.81,0.13,65.675
ARG19_PG_F,ARG19,PG290225,PG,Pastos Grandes,F,-24.364589,-66.571132,527.6,Backarc,Vulc,Mature,4305,44.9,8.74,1288,0.61,50,NA,NA,NA,1.68,0.35,-15.33,-10.14,-73.05,911.3837,0,0.054117,0.012464,0.498552,0.776871,86.87504,0.399253,0,NA,NA,w,0.0000027,1.34,1.34,338.1,107.7,8977072026,16840.98712,134.026,0.054,1.567,0.275,23.705,177.36,NA,299,NA,NA,29933,2.98104152,0.64,2.97,9.22,0.015,2.34,43.165,38.435,17.725,-33.28
ARG19_PG_S,ARG19,PG290225,PG,Pastos Grandes,S,-24.364589,-66.571132,527.6,Backarc,Vulc,Mature,4305,44.9,8.74,1288,0.61,50,NA,NA,NA,1.68,0.35,-15.33,-10.14,-73.05,911.3837,0,0.054117,0.012464,0.498552,0.776871,86.87504,0.399253,0,NA,NA,w,0.0000027,1.34,1.34,338.1,107.7,8977072026,16840.98712,134.026,0.054,1.567,0.275,23.705,177.36,NA,299,NA,NA,29933,2.98104152,0.64,2.97,9.22,0.015,2.34,43.165,38.435,17.725,-33.28
ARG19_PM_F,ARG19,PM190223,PM,Pompeya,F,-24.246688,-66.362722,548.8,Backarc,Met,Peripheral,3889,50.3,6.53,9000,5.09,10,NA,NA,NA,0.9,21.14338,-5.33,-10.38,-79.71,978.9139,0.03094,0.013232,0.000266,0.045579,0.07049,20.77485,0.150739,0,NA,-8.68026,NA,NA,NA,NA,NA,NA,NA,NA,1115.469,3.441,112.447,25.835,45.63,1129061,NA,2319,NA,NA,180736,0.1838518,0.25,68.455,293.62,0.01,27.38,8.455,-0.305,367.975,-20.555
ARG19_PM_S,ARG19,PM190223,PM,Pompeya,S,-24.246688,-66.362722,548.8,Backarc,Met,Peripheral,3889,50.3,6.53,9000,5.09,10,NA,NA,NA,0.9,21.14338,-5.33,-10.38,-79.71,978.9139,0.03094,0.013232,0.000266,0.045579,0.07049,20.77485,0.150739,0,NA,-8.68026,NA,NA,NA,NA,NA,NA,NA,NA,1115.469,3.441,112.447,25.835,45.63,1129061,NA,2319,NA,NA,180736,0.1838518,0.25,68.455,293.62,0.01,27.38,8.455,-0.305,367.975,-20.555
ARG19_PP_S,ARG19,PP190301,PP,El Galpón,S,-24.40986,-64.59146,739.9,Backarc,Sed,NA,493,54.3,8.47,3474,1.81,0,NA,NA,NA,0.9,2.151408,-10.67349117,-6.33,-38.06,957.6987,0,0.002397,0.002962,3.726273,1.176718,37.30708,0.118849,0,NA,-1.21923,g,0.00000104,0.36,0.21,5.2,1.7,97100000000,48758.09597,263.476,0.068,2.868,0.226,5.349,141025,326,NA,117,NA,179696,NA,58.82,343.73,13714.96,50.635,1.645,0.805,4.81,1.09,17.71
ARG19_RF_S,ARG19,RF190301,RF,Rosario de la Frontera,S,-25.40986,-64.59134,749.7,Backarc,Sed,Peripheral,425,82,8.23,3056,1.57,0,NA,NA,NA,1.33,3.45,-8.28,-6.37,-38.43,954.5125,0,0.001622,0.004291,7.245015,0.456399,37.77916,0.000977,0,NA,NA,w,0.000000571,0.36,0.33,18.9,6,1140000000000,582342.166,404.345,0.211,5.462,0.226,5.599,424017,NA,NA,NA,NA,96118,NA,13.41,6.055,18.575,0.035,21.005,20.945,15.945,5.17,-2.31
ARG19_TM_S,ARG19,TM190224,TM,Tocomar,S,-24.18778,-66.55451,527.6,Backarc,Vulc,Peripheral,4333,69.2,7.13,7100,3.93,40,NA,NA,NA,2.35,19.03,-7.18,NA,NA,992.217,0.070766,0.004775,0.006059,0.033702,0.082722,6.504908,23.66891,0,NA,-11.7104,g,0.00000202,2.47,2.48,227,72.3,55300000000,191252.3248,771.995,10.716,76.068,4.284,29.468,682599,NA,NA,NA,NA,140996,0.072002796,0.54,280.26,436.915,0.275,2.52,0.575,-1.99,35.2,-34.795
ARG19_VV_F,ARG19,VV190228,VV,Villa Vil,F,-27.112858,-66.822241,554.9,Backarc,Sed,Volcanic,2143,38.2,9.09,869,0.4,60,NA,NA,NA,0.5,0.66,-13.28,-4.36,-23.7,962.9624,0,0.050215,0.001419,2.891898,0.217039,33.79215,0.006892,0,NA,-14.9414,w,0.00000977,0.9,0.89,249.4,79.5,14600000000,18326.10298,82.721,0.035,0.808,0.088,6.789,55175,NA,151,21,NA,42216,0.012583013,20.3,17.91,334.91,1.6,0.15,0.03,-0.21,0,1.12
CH20_AU_F,CH20,AU200310,AU,Auco,F,-32.892097,-70.710594,NA,Forearc,NA,Volcanic,873,20.2,8.09,750,3,76.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W,0.0000000385,0.96,1.13,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02276034991,,,,,,,,,
CH20_AU_S,CH20,AU200310,AU,Auco,S,-32.892097,-70.710594,NA,Forearc,NA,Volcanic,873,20.2,8.09,750,3,76.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W,0.0000000385,0.96,1.13,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02276034991,,,,,,,,,
CH20_BM_F,CH20,BM200304,BM,Baños Morales,F,-33.824023,-70.059671,NA,Forearc,NA,Peripheral,1868,27.2,6.07,20820,20,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.64,G,0.000000462,1.61,1.63,25.5,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02682469761,0.422,61.395,1181.894,2.192,3.223,1.811,2.913,,
CH20_BM_S,CH20,BM200304,BM,Baños Morales,S,-33.824023,-70.059671,NA,Forearc,NA,Peripheral,1868,27.2,6.07,20820,20,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.64,G,0.000000462,1.61,1.63,25.5,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02682469761,0.422,61.395,1181.894,2.192,3.223,1.811,2.913,,
CH20_CP_F,CH20,CP200307,CP,La Campanario,F,-35.93411,-70.586598,NA,Forearc,NA,Peripheral,1591,53.2,5.89,31389,25,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.72,G,0.000011,5.01,5.03,201.4,64.2,10000000000,35100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03088904531,0.652,2138.484,14627.226,0.3,3.426,0.55,0.998,0.16,
CH20_CQ_F,CH20,CQ200302,CQ,Termas de Cauquenes,F,-34.347661,-70.555894,NA,Forearc,NA,NA,774,47.67,8.47,NA,7.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.9,NA,G,0.000173,1.67,1.68,216.3,68.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02682469761,0.222,7.296,9.629,0.067,1.23,0.206,12.377,0.528,
CH20_CR_F,CH20,CR200310,CR,El Corazón,F,-32.798669,-70.542534,NA,Forearc,NA,Mature,1003,19.6,7.61,652,4,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02682469761,6.315,7.368,164.836,0.843,11.075,2,1.486,0.051,
CH20_CT_F,CH20,CT200308,CT,Termas de Catillo,F,-36.292102,-71.648357,NA,Forearc,NA,Mature,258,37.5,9.49,527,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W,0.00000683,0.65,0.65,79.5,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.801319091,0.212,2.658,64.898,0.326,6.387,4.038,6.593,9.749,
CH20_EM_F,CH20,EM200308,CT,El Médano,F,-35.822954,-70.760384,NA,Forearc,NA,Peripheral,1016,37.5,7.22,2440,NA,79.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W,0.000000576,0.94,0.74,1.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02276034991,3.479,39.975,478.342,1.269,139.684,7.618,30.158,10.353,
CH20_EM_S,CH20,EM200307,EM,El Médano,S,-35.822954,-70.760384,NA,Forearc,NA,Peripheral,1016,37.5,7.22,2440,NA,79.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W,0.000000576,0.94,0.74,1.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02276034991,3.479,39.975,478.342,1.269,139.684,7.618,30.158,10.353,
CH20_GS_F,CH20,GS200305,GS,Gualleco Spring,F,-35.255208,-71.971441,NA,Forearc,NA,Peripheral,135,19.9,10.3,303,3,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.622654054,0.028,0.927,,0.009,0.079,,3.119,42.275,
CH20_PM_F,CH20,PM200308,PM,Panamávida,F,-35.761243,-71.416547,NA,Forearc,NA,Mature,310,32.45,9.91,1160,4,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G,0.00000304,1.12,1.43,1.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3560368962,0.455,6.861,133.382,0.699,7.549,2.205,4.389,5.362,
CH20_PM_S,CH20,PM200308,PM,Panamávida,S,-35.761243,-71.416547,NA,Forearc,NA,Mature,310,32.45,9.91,1160,4,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G,0.00000304,1.12,1.43,1.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3560368962,0.455,6.861,133.382,0.699,7.549,2.205,4.389,5.362,
CH20_SP_F,CH20,SP200306,SP,San Pedro Baños Termales,F,-35.136766,-70.476566,NA,Forearc,NA,Mature,1830,21.98,6.19,32800,46.5,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.56,G,0.000175,2.4,2.4,186.9,59.5,47000000,43.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01869600105,0.749,8832.845,10882.478,0.978,8.08,49.613,0.826,0.134,
CH20_SP_S,CH20,SP200306,SP,San Pedro Baños Termales,S,-35.136766,-70.476566,NA,Forearc,NA,Mature,1830,21.98,6.19,32800,46.5,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.56,G,0.000175,2.4,2.4,186.9,59.5,47000000,43.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01869600105,0.749,8832.845,10882.478,0.978,8.08,49.613,0.826,0.134,
CH20_TF_F,CH20,TF200303,TF,Termas Flacco,F,-34.958936,-70.434051,NA,Forearc,NA,Mature,1731,68.4,6.24,6450,5,24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.78,-11.15,G,0.0000492,1.44,1.48,12.6,4,2200000000,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02682469761,1.859,166.467,86.367,0.472,3.625,1.695,9.716,0.862,
CH20_TF_S,CH20,TF200303,TF,Termas Flacco,S,-34.958936,-70.434051,NA,Forearc,NA,Mature,1731,68.4,6.24,6450,5,24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.78,-11.15,G,0.0000492,1.44,1.48,12.6,4,2200000000,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02682469761,1.859,166.467,86.367,0.472,3.625,1.695,9.716,0.862,
CH20_TP_F,CH20,TP200304,TP,Termas del Plomo,F,-33.61774,-69.910353,NA,Forearc,NA,Mature,2933,36.8,6.43,1900,29.6,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G,0.000116,2.32,2.34,66.3,21.1,120000000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03088904531,0.336,349.521,1691.809,0.168,0.922,244.276,7.544,0.021,
CR17_BQ_F,CR17,BQ170218,BQ,Borinquen,F,10.810883,-85.413707,,Arc,,Peripheral,535,88.9,2.11,4980,5.73,9.9,,,,NA,NA,NA,NA,NA,936.6,23.4,0,10.08,1.04,0.9,26.85,1.19,0,-1.37,NA,g,1.32,5.03,5.13,33.24,10.59,100544034451.07,316000,18.9,86.72,10.48,42.04,89.98,23.16,,2938.62,NA,0,NA,3.41,,85.69,109.49,3.13,5.98,0.02,,,9.66
CR17_BQ_S,CR17,BQ170218,BQ,Borinquen,S,10.810883,-85.413707,NA,Arc,NA,Peripheral,535,88.9,2.11,4980,5.73,9.9,NA,NA,NA,NA,NA,NA,NA,NA,936.6,23.4,0,10.08,1.04,0.9,26.85,1.19,0,-1.37,NA,g,1.32,5.03,5.13,33.24,10.59,100544034451.07,316000,18.9,86.72,10.48,42.04,89.98,23.16,NA,2938.62,NA,0,NA,3.41,,,,,,,,,
CR17_BR1_S,CR17,BR170218_1,BR1,Blue River Spring 1,S,10.89837,-85.32839,NA,Arc,NA,Steam-heated,437,59,6.16,5995,7.02,41,NA,NA,NA,653.8,9.56,0.23,-5.25,-37.2,946.9,0,0.01,0,2.59,1.28,47.54,1.71,0,-3.66,NA,g,7.77,6.39,6.52,32.29,10.29,13635960891.07,127000,222.12,0.52,124.72,293.82,216.36,1208.18,NA,3756.51,0,0,4.23,0,,3286.5,403.7,,1.6,11,,,15.7
CR17_BR2_F,CR17,BR170218_2,BR2,Blue River Spring 2,F,10.89837,-85.32853,NA,Arc,NA,Steam-heated,434,53.8,5.87,5755,6.71,7,NA,NA,NA,NA,9.31,0.96,-5.15,-38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3.72,NA,,39.06,12.07,0.02,,8.89,0.08,,0.22
CR17_BR2_S,CR17,BR170218_2,BR2,Blue River Spring 2,S,10.89837,-85.32853,NA,Arc,NA,Steam-heated,434,53.8,5.87,5755,6.71,7,NA,NA,NA,NA,9.31,0.96,-5.15,-38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3.72,NA,,833.5,403.2,2.1,14.1,,,,7
